"0@ID_REP";"1@REGION";"2@DEPARTEMENT";"3@COMMUNE";"4@CAV";"5@CONCESSIONS";"6@MENAGES";"7@QUARTIERS-VILLAGES";"8@HOMMES";"9@FEMMES";"10@POPULATION";"11@OBSERVATIONS"
14758;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";10;15;"BOWDY DIOYE";50;58;109;"-"
15171;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";16;21;"DANEDJI";89;89;178;"-"
15172;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";14;15;"DAROU KHOUDOSS";132;96;229;"-"
15173;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";2;2;"DAROU MARNANE";11;10;22;"-"
15174;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";9;14;"DAROU NAHIM";67;62;129;"-"
15175;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";10;13;"DAROU NAHIM (SILAT)";73;57;131;"-"
15176;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";11;12;"DAROU SALAM MBACKE";63;61;124;"-"
15177;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";22;22;"DAROU SALAM THIEL";108;127;235;"-"
15178;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";6;11;"DEROUDOU";42;36;78;"-"
15179;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";2;3;"DEROUDOU THIEL";10;15;26;"-"
14759;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";18;43;"DIABE SOWNABE";147;152;299;"-"
15180;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";3;5;"DIACK SAO TOURE";83;18;102;"-"
15181;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";23;27;"DIAGA";144;137;282;"-"
15182;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";38;48;"DIAGA DOLY";192;188;381;"-"
15183;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";8;14;"DIALY FAFA";26;32;58;"-"
15184;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";38;44;"DIAM WELY";278;236;515;"-"
15185;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";33;36;"DIMISKHA";166;218;385;"-"
14760;"LOUGA";"LINGUERE";"TESSEKRE FORAGE";"YANG YANG";12;17;"DIOULARE GAOUDY";51;55;107;"-"
15186;"LOUGA";"LINGUERE";"THIEL";"BARKEDJI";32;64;"DIOULKY";287;296;584;"-"
