0@ID_REP;1@REGION;2@DEPARTEMENT;3@COMMUNE;4@CAV;5@CONCESSIONS;6@MENAGES;7@QUARTIERS-VILLAGES;8@HOMMES;9@FEMMES;10@POPULATION;11@OBSERVATIONS;Probabilité;Nombre de ménage à tirer;LONGITUDE;LATITUDE;X_COORD;Y_COORD
14762;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;17;21;GANAREL;68;82;150;-;0,017841971;1;470469;1773113;-15,27606316;16,03758969
14763;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;10;10;GANINA SAMBOUROU;37;35;73;-;0,008496177;1;473827;1768740;-15,24462379;15,99809451
14764;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;11;13;GANINAYEL BISSINABE;46;33;79;-;0,01104503;1;455024;1767553;-15,42033937;15,98709195
14765;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;2;10;GANINAYEL I (GANINAYEL BAKARNABE);45;50;95;-;0,008496177;1;465668;1755234;-15,32068646;15,87589559
15191;LOUGA;LINGUERE;THIEL;BARKEDJI;14;15;GOUMEL NAMASS;75;68;144;-;0,011406844;1;488350;1650502;-15,10832896;14,92923561
14767;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;9;17;GUENT BOUBOU;33;57;91;-;0,0144435;1;501353;1754700;-14,9873622;15,8713052
15192;LOUGA;LINGUERE;THIEL;BARKEDJI;8;8;GUET ARDO THIEL;31;44;75;-;0,00608365;1;485882;1651245;-15,13128201;14,93594125
15193;LOUGA;LINGUERE;THIEL;BARKEDJI;27;32;KOUMOUCK;183;179;363;-;0,024334601;2;515625;1654517;-14,85468466;14,9655157
15194;LOUGA;LINGUERE;THIEL;BARKEDJI;6;9;KOUMOUCK KANGAL;39;63;103;-;0,006844106;1;516463;1651122;-14,84691289;14,93481561
14770;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;7;10;LABARDY PAMPINABE;37;38;76;-;0,008496177;1;482844;1758804;-15,16027604;15,90834833
15195;LOUGA;LINGUERE;THIEL;BARKEDJI;20;25;LOUMBOL ARDO;127;130;257;-;0,019011407;2;514012;1656316;-14,86967599;14,98178993
14771;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;4;9;LOUMBOL GALELE;55;43;98;-;0,007646559;1;488577;1756350;-15,10670518;15,88619609
14773;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;10;23;LOUMBOL GAWDY SENO;63;94;157;-;0,019541206;2;504363;1757115;-14,95924268;15,89313456
14774;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;8;8;LOUMBOL GAWDY SENO II;51;48;99;-;0,006796941;1;503389;1755138;-14,96834417;15,875263
15196;LOUGA;LINGUERE;THIEL;BARKEDJI;14;21;LOUMBOL KOYLI;78;68;147;-;0,015969582;2;519404;1629459;-14,81972733;14,73893372
14775;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;17;40;LOUMBY WORE;132;137;270;-;0,033984707;3;494778;1761214;-15,04879067;15,93018984
15197;LOUGA;LINGUERE;THIEL;BARKEDJI;7;10;MBAPEDJI;39;39;79;-;0,007604563;1;514870;1630800;-14,86184267;14,75108722
15198;LOUGA;LINGUERE;THIEL;BARKEDJI;41;74;MBATHIOR (DOLY);293;276;570;-;0,056273764;5;495364;1622171;-15,04305787;14,67310579
14776;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;12;17;MBELOGNE NIKINE (BELEL NIKEL);67;51;118;-;0,0144435;1;497083;1762244;-15,02725564;15,93950531
14777;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;9;14;MEDINA RANDE;39;50;90;-;0,011894647;1;479216;1749406;-15,19408837;15,82335817
15199;LOUGA;LINGUERE;THIEL;BARKEDJI;18;26;MOLA I;142;137;279;-;0,019771863;2;496364;1646934;-15,03380478;14,89699942
14778;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;31;33;NGOLKA DIABY I;102;118;221;-;0,028037383;2;470411;1761946;-15,27646662;15,93663577
14779;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;3;11;NGOLKA DIABY II;52;42;94;-;0,009345794;1;472108;1756719;-15,26054982;15,88940139
15204;LOUGA;LINGUERE;THIEL;BARKEDJI;27;41;ODIOLDE THIEL;178;165;344;-;0,031178707;3;506666;1661389;-14,93798703;15,02768485
15205;LOUGA;LINGUERE;THIEL;BARKEDJI;13;14;OGO DOLY;65;52;117;-;0,010646388;1;493056;1634936;-15,06452787;14,78851474
15206;LOUGA;LINGUERE;THIEL;BARKEDJI;16;18;OGO LAITIK;79;94;174;-;0,013688213;1;496814;1635624;-15,0296071;14,79474235
15208;LOUGA;LINGUERE;THIEL;BARKEDJI;37;60;PATACOUR;201;179;381;-;0,045627376;4;514802;1626541;-14,8624986;14,71258022
14782;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;11;25;RANDE;61;57;118;-;0,021240442;2;476903;1745519;-15,21565067;15,78819732
15209;LOUGA;LINGUERE;THIEL;BARKEDJI;8;8;SIBOL THIEL;49;37;87;-;0,00608365;1;488934;1641173;-15,10285857;14,8448918
15210;LOUGA;LINGUERE;THIEL;BARKEDJI;12;17;SILAT OUOLOF;79;59;139;-;0,012927757;1;503758;1654074;-14,96505053;14,96155401
14784;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;18;26;SOUMPE II;92;102;194;-;0,022090059;2;472454;1748851;-15,25722759;15,81827506
14785;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;21;25;TESSEKRE BISSINABE;73;74;148;-;0,021240442;2;499117;1753076;-15,00824713;15,85662359
14789;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;30;32;TESSEKRE OUOLOF;107;115;223;-;0,027187766;2;493679;1753225;-15,05903788;15,85796275
15213;LOUGA;LINGUERE;THIEL;BARKEDJI;8;9;THIABOULY II;44;41;85;-;0,006844106;1;506392;1631496;-14,9406101;14,7574137
14791;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;8;8;THIAMBALEDIA;36;38;75;-;0,006796941;1;489699;1744403;-15,09617319;15,77819368
14792;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;11;14;THIAMBALEDIA BAKARNABE;58;48;107;-;0,011894647;1;487385;1762893;-15,11787442;15,94534206
15214;LOUGA;LINGUERE;THIEL;BARKEDJI;18;21;THIARABITHIE;107;96;204;-;0,015969582;2;503216;1630861;-14,97012;14,75167809
15215;LOUGA;LINGUERE;THIEL;BARKEDJI;11;11;THIEL MAURE;35;36;72;-;0,008365019;1;494660;1650047;-15,04965373;14,92514209
15216;LOUGA;LINGUERE;THIEL;BARKEDJI;61;69;THIEL OUOLOF I;286;262;548;-;0,052471483;5;494169;1651204;-15,05422189;14,93560182
15217;LOUGA;LINGUERE;THIEL;BARKEDJI;63;69;THIEL OUOLOF II;382;371;753;-;0,052471483;5;495933;1650887;-15,03781813;14,93273903
15218;LOUGA;LINGUERE;THIEL;BARKEDJI;23;28;THIEL PEULH;107;124;231;-;0,021292776;2;495228;1651014;-15,04437401;14,9338861
15220;LOUGA;LINGUERE;THIEL;BARKEDJI;30;30;THIEL TOUCOULEUR;135;149;285;-;0,022813688;2;496964;1651525;-15,02823185;14,93850875
14793;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;4;12;THILELE BAKARNABE;35;39;75;-;0,010195412;1;466578;1754999;-15,3121832;15,87378353
15221;LOUGA;LINGUERE;THIEL;BARKEDJI;8;11;THILLA (TOUBA THILLA);52;43;95;-;0,008365019;1;525470;1616290;-14,7634995;14,61981673
15222;LOUGA;LINGUERE;THIEL;BARKEDJI;4;7;THIOBE;36;23;59;-;0,005323194;1;512162;1631074;-14,88700141;14,75357823
14795;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;7;17;THIOVE THIDAR I;47;52;99;-;0,0144435;1;487933;1757507;-15,11272676;15,89665288
14796;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;12;33;THIOVE THIDAR II;95;87;183;-;0,028037383;2;490302;1753606;-15,09058044;15,86139629
15223;LOUGA;LINGUERE;THIEL;BARKEDJI;10;12;TOUBA DAROU MINAME (THILLA SERIGNE FALLOU);51;37;89;-;0,009125475;1;525955;1625041;-14,75890955;14,69893354
15224;LOUGA;LINGUERE;THIEL;BARKEDJI;21;25;TOUBA ODIOLDE;132;125;257;-;0,019011407;2;502655;1658369;-14,975304;15,00038749
15225;LOUGA;LINGUERE;THIEL;BARKEDJI;9;12;TOUBA PATACOUR;77;88;166;-;0,009125475;1;519310;1626363;-14,82062352;14,71094223
15226;LOUGA;LINGUERE;THIEL;BARKEDJI;7;14;TOUBA THIEL II;76;66;143;-;0,010646388;1;487991;1647477;-15,11165306;14,90188414
15227;LOUGA;LINGUERE;THIEL;BARKEDJI;18;18;WADANE DJOLOF;145;105;250;-;0,013688213;1;511886;1623257;-14,88960131;14,68290259
14799;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;4;13;WALANDE;38;32;71;-;0,01104503;1;478918;1737016;-15,19676322;15,71134321
14800;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;10;13;WEDOU THINGOLY BISNABE;55;68;124;-;0,01104503;1;458854;1761584;-15,38444241;15,93319774
14801;LOUGA;LINGUERE;TESSEKRE FORAGE;YANG YANG;57;61;WEDOU THINGOLY FORAGE;146;121;267;-;0,051826678;4;465787;1768447;-15,31976404;15,99534704
